,Species,Color,Processing Method,Country of Origin,Region,Producer,Harvest Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,Moisture,Category One Defects,Quakers,Category Two Defects,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
1,Arabica,Green,Washed / Wet,Ethiopia,guji-hambela,METAD PLC,2014,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12,0,0,0,m,1950,2200,2075
2,Arabica,Green,Washed / Wet,Ethiopia,guji-hambela,METAD PLC,2014,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12,0,0,1,m,1950,2200,2075
3,Arabica,,,Guatemala,,,,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,0,0,0,0,m,1600,1800,1700
4,Arabica,Green,Natural / Dry,Ethiopia,oromia,Yidnekachew Dabessa Coffee Plantation,2014,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11,0,0,2,m,1800,2200,2000
5,Arabica,Green,Washed / Wet,Ethiopia,guji-hambela,METAD PLC,2014,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12,0,0,2,m,1950,2200,2075
6,Arabica,Bluish-Green,Natural / Dry,Brazil,,,2013,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11,0,0,1,m,NA,NA,NA
7,Arabica,Bluish-Green,Washed / Wet,Peru,,HVC,2012,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11,0,0,0,m,NA,NA,NA
8,Arabica,,,Ethiopia,oromia,Bazen Agricultural & Industrial Dev't Plc,1905,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,0.03,0,0,0,m,1570,1700,1635
9,Arabica,,,Ethiopia,oromiya,Bazen Agricultural & Industrial Dev't Plc,2010,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,0.03,0,0,0,m,1570,1700,1635
10,Arabica,Green,Natural / Dry,Ethiopia,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,2014,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1,0,0,4,m,1795,1850,1822.5
11,Arabica,,Natural / Dry,Ethiopia,oromia,Fahem Coffee Plantation,2014,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1,0,0,1,m,1855,1955,1905
12,Arabica,,Washed / Wet,United States,antioquia,Alfredo De Jesús López Pérez,2014,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,0,0,0,0,m,1872,1872,1872
13,Arabica,,Washed / Wet,United States,antioquia,Jorge Walter Restrepo,2014,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,0,0,0,0,m,1943,1943,1943
14,Arabica,,,United States (Hawaii),kona,"Robert, Sharon, Arianna Wood",2009,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92,0,0,0,2,ft,609.6,609.6,609.6
15,Arabica,,,Ethiopia,oromiya,Bazen Agricultural & Industrial Dev't Plc,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83,0.05,0,0,2,m,1570,1700,1635
16,Arabica,,Washed / Wet,United States,antioquia,María Leticia Diosa,2014,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,0,0,0,0,m,2080,2080,2080
17,Arabica,,,Indonesia,sulawesi,P.T. Toarco Jaya,2010,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42,0.03,0,0,0,m,1200,1800,1500
18,Arabica,,,Ethiopia,yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,2009,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33,0.05,0,0,2,m,NA,NA,NA
19,Arabica,Green,Washed / Wet,China,yunnan,Echo Coffee,2015,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1,0,0,0,m,1450,1450,1450
20,Arabica,,Natural / Dry,Ethiopia,gedio,LevelUp,2014,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,0,0,0,8,m,1700,2000,1850
21,Arabica,None,Washed / Wet,United States,antioquia,Nicolás Rueda Urrego,2014,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,0,0,0,0,m,2019,2019,2019
22,Arabica,Green,Washed / Wet,Costa Rica,san ramon,SEVERAL,2014,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,0.11,0,0,2,m,1300,1300,1300
23,Arabica,Green,Washed / Wet,Mexico,xalapa,ROBERTO LICONA FRANCO,2012,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,0.13,0,0,0,m,1320,1320,1320
